Coordinates,Exposure of S. caninervis,Number of S. caninervis sporophytes,Stem height,Stem height:  exposed,Stem height: shaded,Number of inflorescences,No. Infl. per expressing ramet: exposed,No. Infl. per expressing ramet: shaded,"Sex (M,F,S)",Stem height sorted,No.  inflor by sorted st ht,No.  inflor sorted,St ht sorted by no. infl,Syntrichia caninervis cover,Syntrichia ruralis cover,Bryum algovicum cover,Bryum argenteum cover,Pterogoneurum spp. cover,Grimmia cover,Unknown sp. cover,Total bryophyte cover,Total lichen cover,Total cryptogam cover,,
T1 15,,,,,,,,,,,,,,0%,0%,10%,0%,0%,0%,0%,10%,0%,10%,,
T1 30,I,0,2.9,2,2.9,0,1,1,S,0.5,0,0,0.5,5%,0%,0%,0%,0%,0%,0%,5.00%,0%,5%,,
T1 30,I,,1.7,2.6,1.7,0,1,1,S,0.5,0,0,0.5,,,,,,,,,,,,
T1 30,I,,1.5,1.9,1.5,0,1,1,S,0.5,0,0,0.5,,,,,,,,,,,,
T1 30,I,,2,2.2,2,0,1,1,S,0.5,0,0,0.5,,,,,,,,,,,,
T1 30,I,,2.9,1.9,2.9,0,1,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,3.1,2,3.1,1,2,1,F,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2.1,2.3,2.1,0,1,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2.8,1.2,2.8,0,2,2,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2,1.8,2,0,1,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 30,I,,2,1.9,2,0,2,1,S,0.6,0,0,0.6,,,,,,,,,,,,
T1 45,I,0,1.8,2.3,1.8,0,1,1,S,0.6,0,0,0.6,10%,0%,0%,0%,2.5%,0%,0%,12.50%,0%,13%,,
T1 45,I,,1.2,2.3,1.2,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.4,1.5,1.4,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.3,1.1,1.3,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.8,1.7,1.8,0,1,1,S,0.7,0,0,0.7,,,,,,,,,,,,
T1 45,I,,1.3,1.6,1.3,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1.1,2,1.1,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1.8,2.2,1.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1.1,1.6,1.1,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 45,I,,1,2.5,1,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 60,I,0,,2,,,1,1,,0.8,0,0,0.8,0%,0%,5%,0%,0%,0%,0%,5%,10%,15%,,
T1 75,I,0,1.6,1.3,1.6,0,1,1,S,0.8,0,0,0.8,40%,0%,0%,0%,0%,0%,0%,40%,20%,60%,,
T1 75,I,,1.8,1.5,1.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1.9,2,1.9,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1.7,1.8,1.7,0,1,1,S,0.8,1,0,0.8,,,,,,,,,,,,
T1 75,I,,1.9,2,1.9,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,0.8,1.1,0.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1.8,1.3,1.8,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,2.2,1.4,2.2,0,1,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,2.1,1.7,2.1,0,1,2,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 75,I,,1,1.8,1,0,,1,S,0.8,0,0,0.8,,,,,,,,,,,,
T1 90,,0,,1.7,,,,1,,0.8,0,0,0.8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
T1 105,I,0,1.5,1.3,1.5,0,,1,S,0.8,0,0,0.9,5%,0%,0%,0%,0%,0%,0%,5%,2.5%,7.5%,,
T1 105,I,,3,1.4,3,1,,1,F,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,1.6,2,1.6,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,1.9,2.2,1.9,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,1.5,1.5,1.5,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,2.8,1.6,2.8,0,,3,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,1.9,1.6,1.9,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,1.8,1.2,1.8,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,2,2.2,2,0,,3,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 105,I,,1.6,2.3,1.6,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 120,,0,,1.8,,,,2,,0.9,0,0,0.9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,
T1 135,I,0,1.8,1.3,1.8,0,,1,S,0.9,0,0,0.9,30%,0%,0%,0%,0%,0%,0%,30%,2.5%,32.5%,,
T1 135,I,,1.9,1.9,1.9,0,,3,S,0.9,1,0,0.9,,,,,,,,,,,,
T1 135,I,,1.6,2.3,1.6,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 135,I,,2.1,2,2.1,0,,1,S,0.9,0,0,0.9,,,,,,,,,,,,
T1 135,I,,1.6,1.1,1.6,0,,2,S,0.9,0,0,1,,,,,,,,,,,,
T1 135,I,,1.9,1.2,1.9,0,,1,S,0.9,0,0,1,,,,,,,,,,,,
T1 135,I,,1.9,1.1,1.9,0,,4,S,1,0,0,1,,,,,,,,,,,,
T1 135,I,,2.1,,2.1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 135,I,,1.6,,1.6,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 135,I,,1.9,,1.9,0,,3,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,0,1.4,,1.4,0,,2,S,1,0,0,1,5%,0%,2.50%,0%,0%,0%,0%,7.50%,40%,47.5%,,
T1 150,I,,1.4,1.4,1.4,0,,2,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.3,2,1.3,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.2,1.8,1.2,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.3,1.3,1.3,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1.1,1.7,1.1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,0.6,1.8,0.6,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,1,1.2,1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,0.9,1.3,0.9,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 150,I,,0.8,1.7,0.8,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,0,1.2,1.1,1.2,0,,1,S,1,0,0,1,2.50%,0%,0%,0%,0%,0%,0%,2.50%,20%,22.5%,,
T1 165,I,,1,1.7,1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.2,1.9,1.2,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1,1.5,1,0,,2,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,0.8,1.4,0.8,0,,2,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.1,1.3,1.1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1,1.2,1,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.2,1,1.2,0,,1,S,1,0,0,1,,,,,,,,,,,,
T1 165,I,,1.2,1.3,1.2,0,,1,S,1,1,0,1,,,,,,,,,,,,
T1 165,I,,0.6,1.2,0.6,0,,1,S,1,1,0,1,,,,,,,,,,,,
T1 180,I,0,1.5,1.1,1.5,0,,1,S,1,0,0,1,10%,0%,0%,0%,0%,0%,0%,10%,20%,30%,,
T1 180,I,,1.6,,1.6,0,,1,S,1,1,0,1,,,,,,,,,,,,
T1 180,I,,1.3,1.9,1.3,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,1.9,0.9,1.9,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,1.7,1.3,1.7,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,0.9,1.2,0.9,0,,1,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,2.5,0.9,2.5,0,,2,S,1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,2,0.8,2,0,,1,S,1,1,0,1.1,,,,,,,,,,,,
T1 180,I,,0.8,0.9,0.8,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 180,I,,0.5,1.1,0.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,0,1.1,1.9,1.1,0,,1,S,1.1,0,0,1.1,2.50%,0%,0%,0%,0%,0%,0%,2.50%,10%,12.5%,,
T1 195,I,,1.4,1.2,1.4,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,0.7,1.9,0.7,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.1,2.2,1.1,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.6,1.8,1.6,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.3,1.6,1.3,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,0.9,2,0.9,0,,2,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.5,1.5,1.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,1.2,1.6,1.2,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 195,I,,0.8,1.5,0.8,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,0,1.5,1,1.5,0,,1,S,1.1,0,0,1.1,20%,0%,0%,0%,0%,0%,0%,20%,0%,20%,,
T1 210,I,,1.5,1.2,1.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.9,1.9,1.9,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,2,1.5,2,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.7,2.5,1.7,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.5,1.8,1.5,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,2.1,1.7,2.1,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,0.9,1.8,0.9,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1,2,1,0,,1,S,1.1,0,0,1.1,,,,,,,,,,,,
T1 210,I,,1.3,1.8,1.3,0,,1,S,1.1,2,0,1.1,,,,,,,,,,,,
T1 225,,0,,1.5,,,,1,,1.1,0,0,1.2,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T1 240,I,0,3,2,3,1,,1,F,1.1,0,0,1.2,30%,0%,0%,0%,0%,0%,0%,30%,0%,30%,,
T1 240,I,,3,1.5,3,0,,1,S,1.1,0,0,1.2,,,,,,,,,,,,
T1 240,I,,1.7,1,1.7,1,,1,F,1.1,0,0,1.2,,,,,,,,,,,,
T1 240,I,,1.9,1.2,1.9,0,,,S,1.1,0,0,1.2,,,,,,,,,,,,
T1 240,I,,2.4,1.1,2.4,1,,,F,1.1,0,0,1.2,,,,,,,,,,,,
T1 240,I,,2.8,1.6,2.8,1,,,F,1.1,0,0,1.2,,,,,,,,,,,,
T1 240,I,,2.8,1.3,2.8,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T1 240,I,,2.2,1.2,2.2,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T1 240,I,,2.6,1.5,2.6,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T1 240,I,,2.4,1,2.4,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 15,,0,,0.9,,,,,,1.2,0,0,1.2,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 30,U,0,2.7,2.2,2.7,0,,,S,1.2,0,0,1.2,2.50%,0%,0%,0%,0%,0%,0%,2.50%,0%,2.5%,,
T2 30,U,,4,1.8,4,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,2.2,2.2,2.2,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,3.3,2.5,3.3,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,3.3,2,3.3,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,2.4,2.6,2.4,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,2.9,2,2.9,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,2.4,2.9,2.4,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,3.9,2.9,3.9,1,,,M,1.2,0,0,1.2,,,,,,,,,,,,
T2 30,U,,2.3,2,2.3,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,0,1.4,2,1.4,0,,,S,1.2,0,0,1.2,2.50%,0%,0%,0%,2.50%,0%,0%,5.00%,0%,5%,,
T2 45,U,,1.7,2.6,1.7,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1.1,1.8,1.1,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1.6,1.6,1.6,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,0.9,1.5,0.9,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1.6,2,1.6,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1.1,1,1.1,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1,1.3,1,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1,1,1,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 45,U,,1.5,1,1.5,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,0,3.2,1.6,3.2,2,,,F,1.2,0,0,1.2,10%,0%,0%,0%,0%,0%,0%,10%,2.5%,12.5%,,
T2 60,I,,3.2,1.4,3.2,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,3.4,1.6,3.4,1,,,F,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,2.6,1.7,2.6,1,,,F,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,2.6,1.8,2.6,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,2.8,2.1,2.8,1,,,F,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,2.8,0.9,2.8,1,,,F,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,2.1,1.7,2.1,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,2.4,1,2.4,1,,,F,1.2,0,0,1.2,,,,,,,,,,,,
T2 60,I,,1.8,1.3,1.8,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 75,O,0,2,2.6,2.2,0,,,S,1.2,0,0,1.2,2.50%,0%,0%,0%,0%,0%,0%,2.50%, 2.5 ,5%,,
T2 75,O,,2.6,2.2,1.7,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 75,O,,1.9,2.2,2.6,0,,,S,1.2,0,0,1.2,,,,,,,,,,,,
T2 75,O,,2.2,1.8,2,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 75,O,,1.9,2.2,2,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 75,O,,2,2.3,2.8,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 75,O,,2.3,1.7,3.2,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 75,O,,1.2,1.5,1.8,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 75,O,,1.8,1.8,2,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 75,O,,1.9,2.2,1.6,0,,,S,1.2,0,0,1.3,,,,,,,,,,,,
T2 90,O,0,2.3,2.5,2.2,1,,,F,1.3,0,0,1.3,2.50%,2.50%,2.50%,0%,0%,0%,0%,7.50%,5%,12.5%,,
T2 90,O,,2.3,2.4,2.3,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,1.5,1.4,2,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,1.1,2.1,2.4,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,1.7,2,2.3,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,1.6,2,1.9,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,2,1.5,2.5,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,2.2,1.5,1.5,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,1.6,1.8,1.5,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 90,O,,2.5,1.8,2,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,0,2,3.2,1.8,0,,,S,1.3,0,0,1.3,10%,0%,0%,2.50%,0%,0%,0%,13%,2.5%,15.5%,,
T2 105 ,O,,1.3,2.7,1.8,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,1.5,2.8,2.4,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,2,2.8,1.9,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,1.8,1.3,1.5,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,2,1.2,1.8,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,1.1,2,1.8,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,1.3,1.5,1.3,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,1.4,1.2,1.4,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 105 ,O,,1.7,1.2,1,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,0,1.8,1.8,2.7,0,,,S,1.3,0,0,1.3,2.50%,0%,0%,0%,0%,0%,0%,2.50%,5%,7.5%,,
T2 120,O,,1.7,1.6,1.9,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,1.3,1.5,2.4,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,1.4,2.8,1.5,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,2,1.8,1.6,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,2.2,1.5,2.8,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,1.5,2,2.3,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,1.6,1.4,2.1,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,1.6,1.7,1.9,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 120,O,,1.2,1.8,2.7,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 135,O,0,2.2,1.2,1.2,0,,,S,1.3,0,0,1.3,2.5%,0%,0%,0%,0%,0%,0%,3%,0%,0.0%,,
T2 135,O,,2.3,2,0.8,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 135,O,,1.8,1.7,1.3,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 135,O,,1.3,1.9,1.2,0,,,S,1.3,0,0,1.3,,,,,,,,,,,,
T2 135,O,,1.9,1.2,1.2,0,,,S,1.3,0,0,1.4,,,,,,,,,,,,
T2 135,O,,2.3,1.8,2,0,,,S,1.3,0,0,1.4,,,,,,,,,,,,
T2 135,O,,2,1.2,1.3,0,,,S,1.3,0,0,1.4,,,,,,,,,,,,
T2 135,O,,1.1,1.3,1.6,0,,,S,1.3,0,0,1.4,,,,,,,,,,,,
T2 135,O,,1.2,1.4,1.3,0,,,S,1.3,0,0,1.4,,,,,,,,,,,,
T2 135,O,,1.1,1.7,1,0,,,S,1.3,0,0,1.4,,,,,,,,,,,,
T2 150,,0,,,2.5,,,,,1.3,0,0,1.4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.0%,,
T2 165,,0,,2.2,2.6,,,,,1.4,0,0,1.4,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 180,,0,,2.9,2.1,,,,,1.4,0,0,1.4,0%,0%,0%,0%,0%,0%,0%,0%,2.5%,2.5%,,
T2 195,,0,,3,3.2,,,,,1.4,0,0,1.4,0%,0%,0%,0%,0%,0%,0%,0%,5%,5.0%,,
T2 210,O,0,1.4,2.9,2.1,0,,,S,1.4,0,0,1.4,3%,0%,0%,0%,0%,0%,0%,2.5%,10%,12.5%,,
T2 210,O,,2,1.5,2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.8,3,2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.3,2.1,2.5,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.7,2.1,2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.8,2.9,2.6,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.2,2.5,2.2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.3,2.3,2.3,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.7,2.2,2.9,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 210,O,,1.1,1,3.2,0,,,S,1.4,1,0,1.4,,,,,,,,,,,,
T2 225,O,0,1.7,1.9,2,0,,,S,1.4,0,0,1.4,2.50%,0%,2.50%,0%,0%,0%,0%,5.00%,0%,5.0%,,
T2 225,O,,1.9,1.6,2.2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.5,2.5,3,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.4,1.3,3,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.3,1.2,2.1,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.2,1.6,1.7,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1,1.6,2.2,0,,,S,1.4,0,0,1.4,,,,,,,,,,,,
T2 225,O,,1.3,2.2,2.5,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 225,O,,1.2,2.1,2.2,0,,,S,1.4,0,0,1.5,,,,,,,,,,,,
T2 225,O,,1.1,2,3.1,0,,,S,1.4,2,0,1.5,,,,,,,,,,,,
