Coordinates,Inferred Genetic Sex_F,Inferred Genetic Sex_M,indexNumber,Row,Column
T1 30,10,0,1030,1,30
T1 45,9,0,1045,1,45
T1 75,10,0,1075,1,75
T1 105,10,0,1105,1,105
T1 135,10,0,1135,1,135
T1 150,7,0,1150,1,150
T1 165,7,0,1165,1,165
T1 180,9,0,1180,1,180
T1 195,10,0,1195,1,195
T1 210,4,0,1210,1,210
T1 240,10,0,1240,1,240
T2 30,3,2,2030,2,30
T2 45,10,0,2045,2,45
T2 60,4,0,2060,2,60
T2 75,11,0,2075,2,75
T2 90,10,0,2090,2,90
T2 105,4,1,2105,2,105
T2 120,8,0,2120,2,120
T2 135,9,0,2135,2,135
T2 210,7,0,2210,2,210
T2 225,1,1,2225,2,225
T2 255,3,4,2255,2,255
T2 270,1,0,2270,2,270
T2 285,2,0,2285,2,285
T2 315,2,0,2315,2,315
T2 330,5,0,2330,2,330
T2 345,2,0,2345,2,345
T2 360,2,0,2360,2,360
T2 390,3,1,2390,2,390
T3 105,10,0,3105,3,105
T3 135,10,0,3135,3,135
T3 210,10,0,3210,3,210
T3 285,10,0,3285,3,285
T3 315,10,0,3315,3,315
T3 390,10,0,3390,3,390
T3 465,10,0,3465,3,465
T3 540,2,0,3540,3,540
T3 600,0,3,3600,3,600
T4 90,1,0,4090,4,90
T4 585,0,2,4585,4,585
T4 600,1,0,4600,4,600