Genomics_ID,Sample_ID,loc,lat,lon,Species,Expressed Sex,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex,NOTES,Gel Date,Lab,,,
T2-210.5,BOWKER-T2-210.5,,,,S. caninervis,U,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler,,,
T2-210.6,BOWKER-T2-210.6,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-210.7,BOWKER-T2-210.7,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-210.8,BOWKER-T2-210.8,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-210.9,BOWKER-T2-210.9,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-210.10,BOWKER-T2-210.10,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-255.1,BOWKER-T2-255.1,,,,S. caninervis,U,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler,,,
T2-255.2,BOWKER-T2-255.2,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-255.3,BOWKER-T2-255.3,,,,S. caninervis,U,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler,,,
T2-255.4,BOWKER-T2-255.4,,,,S. caninervis,U,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler,,,
T2-255.5,BOWKER-T2-255.5,,,,S. caninervis,U,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler,,,
T2-255.6,BOWKER-T2-255.6,,,,S. caninervis,U,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler,,,
T2-255.7,BOWKER-T2-255.7,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T2-255.8,BOWKER-T2-255.8,,,,S. caninervis,U,M. Bowker,1997,,D13,36,M,DIRECT LEAF PCR,,Mishler,,,
T2-255.9,BOWKER-T2-255.9,,,,S. caninervis,U,M. Bowker,1997,,D13,36,,DIRECT LEAF PCR,,Mishler,,,
T2-255.10,BOWKER-T2-255.10,,,,S. caninervis,U,M. Bowker,1997,,D13,36,F,DIRECT LEAF PCR,,Mishler,,,
T1-210.1,BOWKER-T1-210.1,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T1-210.2,BOWKER-T1-210.2,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T1-210.3,BOWKER-T1-210.3,,,,S. caninervis,U,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler,,,
T1-210.4,BOWKER-T1-210.4,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T1-210.5,BOWKER-T1-210.5,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T1-210.6,BOWKER-T1-210.6,,,,S. caninervis,U,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler,,,
T1-210.7,BOWKER-T1-210.7,,,,S. caninervis,U,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler,,,
T1-210.8,BOWKER-T1-210.8,,,,S. caninervis,U,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler,,,
T1-210.9,BOWKER-T1-210.9,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T1-210.10,BOWKER-T1-210.10,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.1,BOWKER-T2-225.1,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.2,BOWKER-T2-225.2,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.3,BOWKER-T2-225.3,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.4,BOWKER-T2-225.4,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.5,BOWKER-T2-225.5,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.6,BOWKER-T2-225.6,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.7,BOWKER-T2-225.7,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.8,BOWKER-T2-225.8,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-225.9,BOWKER-T2-225.9,,,,S. caninervis,U,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler,,,
T2-225.10,BOWKER-T2-225.10,,,,S. caninervis,U,M. Bowker,1997,,D14,37,M,DIRECT LEAF PCR,,Mishler,,,
T2-270.1,BOWKER-T2-270.1,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-270.2,BOWKER-T2-270.2,,,,S. caninervis,U,M. Bowker,1997,,D14,37,F,DIRECT LEAF PCR,,Mishler,,,
T2-270.3,BOWKER-T2-270.3,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-270.4,BOWKER-T2-270.4,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-270.5,BOWKER-T2-270.5,,,,S. caninervis,U,M. Bowker,1997,,D14,37,,DIRECT LEAF PCR,,Mishler,,,
T2-270.6,BOWKER-T2-270.6,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-270.7,BOWKER-T2-270.7,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-270.8,BOWKER-T2-270.8,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-270.9,BOWKER-T2-270.9,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-270.10,BOWKER-T2-270.10,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.1,BOWKER-T2-285.1,,,,S. caninervis,U,M. Bowker,1997,,D15,38,F,DIRECT LEAF PCR,,Mishler,,,
T2-285.2,BOWKER-T2-285.2,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.3,BOWKER-T2-285.3,,,,S. caninervis,U,M. Bowker,1997,,D15,38,F,DIRECT LEAF PCR,,Mishler,,,
T2-285.4,BOWKER-T2-285.4,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.5,BOWKER-T2-285.5,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.6,BOWKER-T2-285.6,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.7,BOWKER-T2-285.7,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.8,BOWKER-T2-285.8,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.9,BOWKER-T2-285.9,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-285.10,BOWKER-T2-285.10,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.1,BOWKER-T2-315.1,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.2,BOWKER-T2-315.2,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.3,BOWKER-T2-315.3,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.4,BOWKER-T2-315.4,,,,S. caninervis,U,M. Bowker,1997,,D15,38,F,DIRECT LEAF PCR,,Mishler,,,
T2-315.5,BOWKER-T2-315.5,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.6,BOWKER-T2-315.6,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.7,BOWKER-T2-315.7,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.8,BOWKER-T2-315.8,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.9,BOWKER-T2-315.9,,,,S. caninervis,U,M. Bowker,1997,,D15,38,F,DIRECT LEAF PCR,,Mishler,,,
T2-315.10,BOWKER-T2-315.10,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-315.11,BOWKER-T2-315.11,,,,S. caninervis,U,M. Bowker,1997,,D15,38,,DIRECT LEAF PCR,,Mishler,,,
T2-330.1,BOWKER-T2-330.1,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-330.2,BOWKER-T2-330.2,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-330.3,BOWKER-T2-330.3,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-330.4,BOWKER-T2-330.4,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-330.5,BOWKER-T2-330.5,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-330.6,BOWKER-T2-330.6,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-330.7,BOWKER-T2-330.7,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-330.8,BOWKER-T2-330.8,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-330.9,BOWKER-T2-330.9,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-330.10,BOWKER-T2-330.10,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-345.1,BOWKER-T2-345.1,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-345.2,BOWKER-T2-345.2,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-345.3,BOWKER-T2-345.3,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-345.4,BOWKER-T2-345.4,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-345.5,BOWKER-T2-345.5,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-345.6,BOWKER-T2-345.6,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-345.7,BOWKER-T2-345.7,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-345.8,BOWKER-T2-345.8,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-345.9,BOWKER-T2-345.9,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.1,BOWKER-T2-360.1,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.2,BOWKER-T2-360.2,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-360.3,BOWKER-T2-360.3,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.4,BOWKER-T2-360.4,,,,S. caninervis,U,M. Bowker,1997,,D17,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-360.5,BOWKER-T2-360.5,,,,S. caninervis,U,M. Bowker,1997,,D17,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.6,BOWKER-T2-360.6,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.7,BOWKER-T2-360.7,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.8,BOWKER-T2-360.8,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.9,BOWKER-T2-360.9,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-360.10,BOWKER-T2-360.10,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.1,BOWKER-T2-375.1,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.2,BOWKER-T2-375.2,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.3,BOWKER-T2-375.3,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.4,BOWKER-T2-375.4,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.5,BOWKER-T2-375.5,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.6,BOWKER-T2-375.6,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.7,BOWKER-T2-375.7,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.8,BOWKER-T2-375.8,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.9,BOWKER-T2-375.9,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-375.10,BOWKER-T2-375.10,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.1,BOWKER-T2-390.1,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.2,BOWKER-T2-390.2,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.3,BOWKER-T2-390.3,,,,S. caninervis,U,M. Bowker,1997,,D18,40,M,DIRECT LEAF PCR,,Mishler,,,
T2-390.4,BOWKER-T2-390.4,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.5,BOWKER-T2-390.5,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.6,BOWKER-T2-390.6,,,,S. caninervis,U,M. Bowker,1997,,D18,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-390.7,BOWKER-T2-390.7,,,,S. caninervis,U,M. Bowker,1997,,D18,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-390.8,BOWKER-T2-390.8,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.9,BOWKER-T2-390.9,,,,S. caninervis,U,M. Bowker,1997,,D18,40,,DIRECT LEAF PCR,,Mishler,,,
T2-390.10,BOWKER-T2-390.10,,,,S. caninervis,U,M. Bowker,1997,,D18,40,F,DIRECT LEAF PCR,,Mishler,,,
T2-30.19,BOWKER-T2-30.19,,,,S. caninervis,U,M. Bowker,1997,,D20,43,F,DIRECT LEAF PCR,,Mishler,,,
T3-540.13,BOWKER-T3-540.13,,,,S. caninervis,U,M. Bowker,1997,,D21,44,F,DIRECT LEAF PCR,,Mishler,,,
T3-540.15,BOWKER-T3-540.15,,,,S. caninervis,U,M. Bowker,1997,,D21,44,F,DIRECT LEAF PCR,,Mishler,,,
T3-600.13,BOWKER-T3-600.13,,,,S. caninervis,U,M. Bowker,1997,,D21,44,M,DIRECT LEAF PCR,,Mishler,,,
T3-600.14,BOWKER-T3-600.14,,,,S. caninervis,U,M. Bowker,1997,,D21,44,M,DIRECT LEAF PCR,,Mishler,,,
T3-600.15,BOWKER-T3-600.15,,,,S. caninervis,U,M. Bowker,1997,,D21,44,M,DIRECT LEAF PCR,,Mishler,,,
T4-600.17,BOWKER-T4-600.17,,,,S. caninervis,U,M. Bowker,1997,,D21,44,F,DIRECT LEAF PCR,,Mishler,,,
T4-90.1,BOWKER-T4-90.1,,,,S. caninervis,U,M. Bowker,1997,,D21,44,F,DIRECT LEAF PCR,,Mishler,,,
T4-585.9,BOWKER-T4-585.9,,,,S. caninervis,U,M. Bowker,1997,,D23,46,M,DIRECT LEAF PCR,,Mishler,,,
T4-585.10,BOWKER-T4-585.10,,,,S. caninervis,U,M. Bowker,1997,,D23,46,M,DIRECT LEAF PCR,,Mishler,,,