Genomics_ID,Sample_ID,loc,lat,lon,Coordinates: Exact or Approximate?,Species,Expressed Sex,Leaf Dissection?,Photos,Grid?,Collector,Collection Year,Extraction #,PCR #,DIGEST #,Inferred Genetic Sex
GJB341,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB342,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB343,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB344,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB345,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB346,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,17,39,24,F
GJB347,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,18,42,24,F
GJB348,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,18,42,24,F
GJB349,BOWKER-T1-30,,,,,S. caninervis,U,,,,M. Bowker,1997,18,42,24,F
GJB349*,BOWKER-T1-30.1,,,,,S. caninervis,U,,,,M. Bowker,1997,NA,39,24,F
GJB350,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
GJB351,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
GJB352,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
GJB353,BOWKER-T1-45,,,,,S. caninervis,U,,,,M. Bowker,1997,19,45,25,F
T1-105.1,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.2,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.3,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.4,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D3,25,F
T1-105.5,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.6,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.7,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.8,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.9,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-105.10,BOWKER-T1-105,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.1,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.2,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.3,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.4,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.5,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.6,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.7,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,
T1-75.8,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T1-75.9,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,
T1-75.10,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D4,26,F
T2-75.11,BOWKER-T2-75.11,,,,,,,,,,M. Bowker,1997,,D11,34,F
T2-75.12,BOWKER-T2-75.12,,,,,,,,,,M. Bowker,1997,,D11,33,F
T1-45.1,BOWKER-T1-45,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-45.2,BOWKER-T1-45,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-45.3,BOWKER-T1-45,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-45.4,BOWKER-T1-45,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-45.5,BOWKER-T1-45,,,,,,,,,,M. Bowker,1997,,D5,27,
T1-45.6,BOWKER-T1-45,,,,,,,,,,M. Bowker,1997,,D5,27,F
T2-45.11,BOWKER-T2-45.11,,,,,,,,,,M. Bowker,1997,,D11,34,F
T1-75.1,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-75.2,BOWKER-T1-75,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.1,BOWKER-T1-135.1,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.2,BOWKER-T1-135.2,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.3,BOWKER-T1-135.3,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.4,BOWKER-T1-135.4,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.5,BOWKER-T1-135.5,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.6,BOWKER-T1-135.6,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.7,BOWKER-T1-135.7,,,,,,,,,,M. Bowker,1997,,D5,27,F
T1-135.8,BOWKER-T1-135.8,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-135.9,BOWKER-T1-135.9,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-135.10,BOWKER-T1-135.10,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.1,BOWKER-T1-150.1,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.2,BOWKER-T1-150.2,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.3,BOWKER-T1-150.3,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.4,BOWKER-T1-150.4,,,,,,,,,,M. Bowker,1997,,D5,28,
T1-150.5,BOWKER-T1-150.5,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.6,BOWKER-T1-150.6,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.7,BOWKER-T1-150.7,,,,,,,,,,M. Bowker,1997,,D5,28,F
T1-150.8,BOWKER-T1-150.8,,,,,,,,,,M. Bowker,1997,,D6,29,
T1-150.9,BOWKER-T1-150.9,,,,,,,,,,M. Bowker,1997,,D6,29,
T1-150.10,BOWKER-T1-150.10,,,,,,,,,,M. Bowker,1997,,D6,29,
T1-165.1,BOWKER-T1-165.1,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.2,BOWKER-T1-165.2,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.3,BOWKER-T1-165.3,,,,,,,,,,M. Bowker,1997,,D6,29,
T1-165.4,BOWKER-T1-165.4,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.5,BOWKER-T1-165.5,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.6,BOWKER-T1-165.6,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.7,BOWKER-T1-165.7,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.8,BOWKER-T1-165.8,,,,,,,,,,M. Bowker,1997,,D6,29,F
T1-165.9,BOWKER-T1-165.9,,,,,,,,,,M. Bowker,1997,,D6,29,
T1-165.10,BOWKER-T1-165.10,,,,,,,,,,M. Bowker,1997,,D6,29,
T1-180.1,BOWKER-T1-180.1,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.2,BOWKER-T1-180.2,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.3,BOWKER-T1-180.3,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.4,BOWKER-T1-180.4,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.5,BOWKER-T1-180.5,,,,,,,,,,M. Bowker,1997,,D7,30,
T1-180.6,BOWKER-T1-180.6,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.7,BOWKER-T1-180.7,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.8,BOWKER-T1-180.8,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.9,BOWKER-T1-180.9,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-180.10,BOWKER-T1-180.10,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-195.1,BOWKER-T1-195.1,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-195.2,BOWKER-T1-195.2,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-195.3,BOWKER-T1-195.3,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-195.4,BOWKER-T1-195.4,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-195.5,BOWKER-T1-195.5,,,,,,,,,,M. Bowker,1997,,D7,30,F
T1-195.6,BOWKER-T1-195.6,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-195.7,BOWKER-T1-195.7,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-195.8,BOWKER-T1-195.8,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-195.9,BOWKER-T1-195.9,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-195.10,BOWKER-T1-195.10,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.1,BOWKER-T1-240.1,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.2,BOWKER-T1-240.2,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.3,BOWKER-T1-240.3,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.4,BOWKER-T1-240.4,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.5,BOWKER-T1-240.5,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.6,BOWKER-T1-240.6,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.7,BOWKER-T1-240.7,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.8,BOWKER-T1-240.8,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.9,BOWKER-T1-240.9,,,,,,,,,,M. Bowker,1997,,D8,31,F
T1-240.10,BOWKER-T1-240.10,,,,,,,,,,M. Bowker,1997,,D8,31,F
T2-30.1,BOWKER-T2-30.1,,,,,,,,,,M. Bowker,1997,,D9,31,
T2-30.2,BOWKER-T2-30.2,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-30.3,BOWKER-T2-30.3,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-30.4,BOWKER-T2-30.4,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-30.5,BOWKER-T2-30.5,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-30.6,BOWKER-T2-30.6,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-30.7,BOWKER-T2-30.7,,,,,,,,,,M. Bowker,1997,,D9,32,M
T2-30.8,BOWKER-T2-30.8,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-30.9,BOWKER-T2-30.9,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-30.10,BOWKER-T2-30.10,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-45.1,BOWKER-T2-45.1,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.2,BOWKER-T2-45.2,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.3,BOWKER-T2-45.3,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.4,BOWKER-T2-45.4,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.5,BOWKER-T2-45.5,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.6,BOWKER-T2-45.6,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-45.7,BOWKER-T2-45.7,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.8,BOWKER-T2-45.8,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.9,BOWKER-T2-45.9,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-45.10,BOWKER-T2-45.10,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-60.1,BOWKER-T2-60.1,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-60.2,BOWKER-T2-60.2,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-60.3,BOWKER-T2-60.3,,,,,,,,,,M. Bowker,1997,,D9,32,
T2-60.4,BOWKER-T2-60.4,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-60.5,BOWKER-T2-60.5,,,,,,,,,,M. Bowker,1997,,D9,32,F
T2-60.6,BOWKER-T2-60.6,,,,,,,,,,M. Bowker,1997,,D10,33,
T2-60.7,BOWKER-T2-60.7,,,,,,,,,,M. Bowker,1997,,D10,33,
T2-60.8,BOWKER-T2-60.8,,,,,,,,,,M. Bowker,1997,,D10,33,
T2-60.9,BOWKER-T2-60.9,,,,,,,,,,M. Bowker,1997,,D10,33,
T2-60.10,BOWKER-T2-60.10,,,,,,,,,,M. Bowker,1997,,D10,33,
T2-75.1,BOWKER-T2-75.1,,,,,,,,,,M. Bowker,1997,,D10,33,
T2-75.2,BOWKER-T2-75.2,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.3,BOWKER-T2-75.3,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.4,BOWKER-T2-75.4,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.5,BOWKER-T2-75.5,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.6,BOWKER-T2-75.6,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.7,BOWKER-T2-75.7,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.8,BOWKER-T2-75.8,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.9,BOWKER-T2-75.9,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-75.10,BOWKER-T2-75.10,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.1,BOWKER-T2-90.1,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.2,BOWKER-T2-90.2,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.3,BOWKER-T2-90.3,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.4,BOWKER-T2-90.4,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.5,BOWKER-T2-90.5,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.6,BOWKER-T2-90.6,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.7,BOWKER-T2-90.7,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.8,BOWKER-T2-90.8,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.9,BOWKER-T2-90.9,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-90.10,BOWKER-T2-90.10,,,,,,,,,,M. Bowker,1997,,D10,33,F
T2-105.1,BOWKER-T2-105.1,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.2,BOWKER-T2-105.2,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.3,BOWKER-T2-105.3,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.4,BOWKER-T2-105.4,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.5,BOWKER-T2-105.5,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.6,BOWKER-T2-105.6,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.7,BOWKER-T2-105.7,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-105.8,BOWKER-T2-105.8,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.9,BOWKER-T2-105.9,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-105.10,BOWKER-T2-105.10,,,,,,,,,,M. Bowker,1997,,D12,35,M
T2-120.1,BOWKER-T2-120.1,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-120.2,BOWKER-T2-120.2,,,,,,,,,,M. Bowker,1997,,D12,35,
T2-120.3,BOWKER-T2-120.3,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.4,BOWKER-T2-120.4,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.5,BOWKER-T2-120.5,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.6,BOWKER-T2-120.6,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.7,BOWKER-T2-120.7,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.8,BOWKER-T2-120.8,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.9,BOWKER-T2-120.9,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-120.10,BOWKER-T2-120.10,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.1,BOWKER-T2-135.1,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.2,BOWKER-T2-135.2,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.3,BOWKER-T2-135.3,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.4,BOWKER-T2-135.4,,,,,,,,,,M. Bowker,1997,,D12,35,F
T2-135.5,BOWKER-T2-135.5,,,,,,,,,,M. Bowker,1997,,D12,35,F